MG,YE,MK,MP,HP,Classid,Childid
83,2,-0.11,3.25,8.2,217,4
53,2,-0.11,3.25,8.2,217,5
65,2,-0.11,3.25,8.2,217,6
51,2,-0.11,3.25,8.2,217,7
66,2,-0.11,3.25,8.2,217,8
88,2,-0.11,3.25,8.2,217,9
-7,2,-0.11,3.25,8.2,217,10
60,2,-0.11,3.25,8.2,217,11
-2,1,-1.25,2.5,8.2,197,12
101,1,-1.25,2.5,8.2,197,13
30,2,-0.72,2.33,8.2,211,14
65,2,-0.72,2.33,8.2,211,15
29,2,-0.72,2.33,8.2,211,16
152,2,-0.72,2.33,8.2,211,17
68,20,0.45,3.83,8.6,11,22
94,20,0.45,3.83,8.6,11,23
120,20,0.45,3.83,8.6,11,24
58,20,0.45,3.83,8.6,11,25
123,5,0.99,2.25,8.6,137,26
88,5,0.99,2.25,8.6,137,27
60,19,1.61,3,8.6,145,28
152,19,1.61,3,8.6,145,29
96,19,1.61,3,8.6,145,30
57,19,1.61,3,8.6,145,31
115,19,1.61,3,8.6,145,32
58,8,1.14,2.17,8.6,228,33
51,8,1.14,2.17,8.6,228,34
104,8,1.14,2.17,8.6,228,35
65,27,-1.05,2,36.5,48,36
64,27,-1.05,2,36.5,48,37
59,27,-1.05,2,36.5,48,38
70,27,-1.05,2,36.5,48,39
73,3,0.22,3.75,51.1,299,42
100,3,0.22,3.75,51.1,299,43
-9,3,0.22,3.75,51.1,299,44
67,3,0.22,3.75,51.1,299,45
58,3,0.22,3.75,51.1,299,46
72,3,0.22,3.75,51.1,299,47
88,1,-0.86,1.75,4.4,254,48
115,1,-0.86,1.75,4.4,254,49
62,24,-0.73,4,4.4,286,50
42,24,-0.73,4,4.4,286,51
88,24,-0.73,4,4.4,286,52
71,24,-0.73,4,4.4,286,53
74,24,-0.73,4,4.4,286,54
67,24,-0.73,4,4.4,286,55
74,19,-0.98,2.5,4.4,291,56
87,19,-0.98,2.5,4.4,291,57
83,19,-0.98,2.5,4.4,291,58
93,19,-0.98,2.5,4.4,291,59
56,13,1.53,2.33,14.8,89,60
40,13,1.53,2.33,14.8,89,61
69,13,1.53,2.33,14.8,89,62
114,8,1.1,2.33,14.8,162,67
56,8,1.1,2.33,14.8,162,68
55,13,-0.79,3.33,14.8,280,69
28,13,-0.79,3.33,14.8,280,70
61,13,-0.79,3.33,14.8,280,71
59,13,-0.79,3.33,14.8,280,72
57,13,-0.79,3.33,14.8,280,73
85,6,-0.14,2,8.5,147,74
28,6,-0.14,2,8.5,147,75
166,6,-0.14,2,8.5,147,76
61,6,-0.14,2,8.5,147,77
47,6,-0.14,2,8.5,147,78
62,6,-0.07,2,8.5,265,79
35,6,-0.07,2,8.5,265,80
52,6,-0.07,2,8.5,265,81
70,6,-0.07,2,8.5,265,82
11,22,0.28,1.5,8.5,279,83
37,22,0.28,1.5,8.5,279,84
36,22,0.28,1.5,8.5,279,85
13,22,0.28,1.5,8.5,279,86
6,22,0.28,1.5,8.5,279,87
21,22,0.28,1.5,8.5,279,88
26,22,0.28,1.5,8.5,279,89
22,23,-1.05,1.25,53.7,17,90
26,23,-1.05,1.25,53.7,17,91
74,23,-1.05,1.25,53.7,17,92
41,23,-0.42,1.17,53.7,58,93
13,24,-0.43,3,53.7,283,94
33,24,-0.43,3,53.7,283,95
102,15,-1.06,3.25,34.6,178,96
72,15,-1.06,3.25,34.6,178,97
44,21,-0.48,2.5,34.6,208,98
78,21,-0.48,2.5,34.6,208,99
48,21,-0.48,2.5,34.6,208,100
90,21,-0.48,2.5,34.6,208,101
90,24,0.48,3.75,34.6,303,110
85,24,0.48,3.75,34.6,303,111
55,24,0.48,3.75,34.6,303,112
65,24,0.48,3.75,34.6,303,113
44,6,0.12,4,10.1,86,114
66,6,0.12,4,10.1,86,115
58,6,0.12,4,10.1,86,116
90,6,0.12,4,10.1,86,117
35,6,0.12,4,10.1,86,118
84,4,-0.42,2.5,10.1,113,119
8,4,-0.42,2.5,10.1,113,120
58,4,-0.42,2.5,10.1,113,121
22,24,-0.13,2.25,10.1,131,122
77,24,-0.13,2.25,10.1,131,123
25,3,-0.52,2.24,10.1,172,124
22,3,-0.52,2.24,10.1,172,125
-35,3,-0.52,2.24,10.1,172,126
38,3,-0.52,2.24,10.1,172,127
28,3,0.31,2.5,10.1,195,128
77,3,0.31,2.5,10.1,195,129
69,3,0.31,2.5,10.1,195,130
62,3,0.31,2.5,10.1,195,131
38,1,-0.73,3,10.1,201,132
18,1,-0.73,3,10.1,201,133
67,1,-0.73,3,10.1,201,134
20,1,-0.73,3,10.1,201,135
42,1,-0.73,3,10.1,201,136
54,27,-1.32,2,10.1,233,137
111,2,-0.72,2,10.1,285,138
68,2,-0.72,2,10.1,285,139
38,2,-0.72,2,10.1,285,140
51,4,-1.02,2.5,10.1,293,141
94,4,-1.02,2.5,10.1,293,142
39,4,-1.02,2.5,10.1,293,143
96,4,-1.02,2.5,10.1,293,144
36,6,0.32,3,10.6,20,145
58,6,0.32,3,10.6,20,146
53,6,0.32,3,10.6,20,147
63,5,-0.84,1.5,10.6,49,148
74,5,-0.84,1.5,10.6,49,149
23,5,-0.84,1.5,10.6,49,150
12,5,-0.84,1.5,10.6,49,151
53,5,-0.84,1.5,10.6,49,152
104,5,-0.84,1.5,10.6,49,153
27,2,1.21,2,10.6,81,154
46,2,1.21,2,10.6,81,155
95,2,1.21,2,10.6,81,156
50,2,1.21,2,10.6,81,157
84,2,1.21,2,10.6,81,158
40,2,1.21,2,10.6,81,159
59,2,1.21,2,10.6,81,160
91,2,1.21,2,10.6,81,161
28,25,-0.19,2.5,10.6,302,165
5,25,-0.19,2.5,10.6,302,166
67,25,-0.19,2.5,10.6,302,167
59,25,-0.19,2.5,10.6,302,168
45,25,-0.19,2.5,10.6,302,169
47,25,-0.19,2.5,10.6,302,170
26,25,-0.19,2.5,10.6,302,171
52,20,0.12,2.5,5.5,64,172
32,20,0.12,2.5,5.5,64,173
44,20,0.12,2.5,5.5,64,174
41,20,0.12,2.5,5.5,64,175
98,20,0.12,2.5,5.5,64,176
59,1,1.19,2,5.5,166,177
-11,1,1.19,2,5.5,166,178
35,1,1.19,2,5.5,166,179
79,1,1.19,2,5.5,166,180
26,17,0.86,5.25,15.7,41,181
-11,17,0.86,5.25,15.7,41,182
23,17,0.86,5.25,15.7,41,183
88,17,0.86,5.25,15.7,41,184
52,17,0.86,5.25,15.7,41,185
13,24,0.12,3,15.7,141,186
32,24,0.12,3,15.7,141,187
19,24,0.12,3,15.7,141,188
62,24,0.12,3,15.7,141,189
69,24,0.12,3,15.7,141,190
71,22,-0.42,2,15.7,167,191
25,22,-0.42,2,15.7,167,192
90,22,-0.42,2,15.7,167,193
41,22,-0.42,2,15.7,167,194
65,22,-0.42,2,15.7,167,195
182,14,0.15,1.33,12.1,5,196
79,24,-0.7,6,12.1,85,197
36,24,-0.7,6,12.1,85,198
47,24,-0.7,6,12.1,85,199
103,24,-0.7,6,12.1,85,200
91,24,-0.7,6,12.1,85,201
113,24,-0.7,6,12.1,85,202
98,24,-0.7,6,12.1,85,203
94,30,-0.34,2.25,12.1,92,204
39,12,0.35,2.5,12.1,119,205
33,5,-1.21,1,12.1,260,206
38,5,-1.21,1,12.1,260,207
22,5,-1.21,1,12.1,260,208
118,12,0.89,2.3,11.3,206,209
83,12,0.89,2.3,11.3,206,210
78,12,0.89,2.3,11.3,206,211
74,12,0.89,2.3,11.3,206,212
90,12,0.89,2.3,11.3,206,213
108,12,-0.48,4,11.3,256,214
143,5,-1.26,3.25,26.1,10,216
69,5,-1.26,3.25,26.1,10,217
54,19,-0.42,2.5,26.1,87,218
129,21,-2.31,3.33,26.1,177,219
65,21,-2.31,3.33,26.1,177,220
57,21,-2.31,3.33,26.1,177,221
49,8,-1.42,3,26.1,216,222
62,8,-1.42,3,26.1,216,223
71,23,1.13,2.25,27.2,31,224
75,23,1.13,2.25,27.2,31,225
164,23,1.13,2.25,27.2,31,226
49,23,1.13,2.25,27.2,31,227
80,1,-0.41,2.25,5.8,98,228
37,1,-0.41,2.25,5.8,98,229
45,1,-0.41,2.25,5.8,98,230
56,1,-0.41,2.25,5.8,98,231
50,1,-0.41,2.25,5.8,98,232
