Income,Taxes,Groceries,Meals,Utilities,Cloth,Alcohol,Fuel,Phone,Children,Adults,Ownhouse,Education.Level,HH Age,HH Gender,,Education Level,,,GHH: Gender of the Household Head,
"$267,500",91047,6257,1200,1250,600,0,600,240,2,2,1,B,33,M,,Primary,P,,Male,M
"$20,540",0,10428,360,680,300,0,0,300,0,2,0,S,29,F,,Secondary,S,,Female,F
"$12,220",0,5214,0,500,240,0,600,480,0,1,0,P,34,F,,Intermediate,I,,,
"$97,270",20041,6257,2640,790,1500,1043,1140,600,0,2,1,M,34,F,,Bachelors,B,,,
"$150,000",40809,7821,1920,40,300,2607,2160,840,0,2,1,B,35,M,,Master,M,,,
,23427,3650,1200,850,1200,1043,720,960,0,1,1,B,42,M,,,,,,
"$97,584",28419,7821,3600,1300,3000,782,960,2400,0,2,1,I,32,F,,,,,,
"$30,524",4853,6257,240,1050,0,1043,300,240,0,1,1,P,35,M,,,,,,
"$12,480",0,10428,0,100,0,1356,720,600,0,1,1,P,32,M,,,,,,
"$104,600",25940,,2400,1250,900,3259,2100,2400,0,2,0,I,28,M,,,,,,
"$126,397",28933,7821,3300,1000,1200,1173,3420,1020,0,2,0,M,26,F,,,,,,
"$112,400",35976,7821,1200,1407,3600,2086,2400,1200,0,1,1,I,33,M,,,,,,
"$29,428",4529,5214,480,500,600,3650,1080,1320,0,1,1,P,32,M,,,,,,
,0,4953,1200,175,360,0,0,600,0,1,0,P,35,F,,,,,,
"$45,000",8957,3650,480,500,1200,521,480,480,0,1,0,I,,F,,,,,,
"$80,160",11605,9559,2400,1400,1400,869,0,1920,0,3,0,B,35,M,,,,,,
"$34,500",5989,5214,1200,1000,240,2607,780,720,0,1,0,S,35,M,,,,,,
"$93,800",18994,6778,3000,800,1500,5214,0,1320,0,2,0,I,29,F,,,,,,
,2329,2086,1440,500,960,521,0,5520,0,1,0,I,,F,,,,,,
"$103,068",21627,8343,1800,1000,4200,2607,2880,3600,0,2,0,I,32,M,,,,,,
"$139,104",35187,13035,1200,1000,1800,2086,1800,2400,1,2,1,M,51,M,,,,,,
"$114,850",25064,7821,1200,800,1200,3128,1200,480,0,3,1,M,32,M,,,,,,
,34478,5214,1440,700,1200,0,,480,0,1,1,I,42,F,,,,,,
"$119,963",31632,10950,1260,1400,600,1564,900,600,3,2,1,M,26,F,,,,,,
"$65,990",13548,3650,2400,525,420,2086,0,420,0,2,1,I,45,M,,,,,,
"$85,000",17844,7039,2400,2380,2700,3389,2760,1500,0,2,0,B,32,M,,,,,,
"$26,300",1396,4693,840,700,120,1043,720,1080,0,2,0,P,35,F,,,,,,
"$23,550",0,7300,240,640,0,1043,300,960,0,1,1,I,35,F,,,,,,
"$139,000",17202,15642,4800,1000,6000,1043,660,3600,0,2,1,B,27,M,,,,,,
"$190,600",56658,7248,3900,560,1800,1825,0,660,0,2,1,M,,M,,,,,,
,16747,7039,2280,990,540,1825,1080,1200,0,2,1,M,,M,,,,,,
"$43,500",8548,3650,1200,1000,1200,521,0,720,0,1,1,P,33,M,,,,,,
"$170,120",47500,6518,3300,1000,600,5475,2460,840,0,2,0,M,37,F,,,,,,
"$64,134",11566,,2400,1800,1800,1043,2400,1200,2,1,1,I,25,M,,,,,,
"$35,804",6358,3128,240,400,0,0,0,960,0,1,0,S,33,M,,,,,,
,14605,5214,1800,520,0,0,2520,1440,0,2,0,S,33,F,,,,,,
"$124,248",30378,10428,1200,1300,1200,1564,1800,1440,3,2,1,B,39,M,,,,,,
"$241,240",57506,13035,5400,1350,3000,3650,3120,2400,0,4,1,I,40,M,,,,,,
"$47,500",9667,4171,960,800,1200,1043,0,360,0,1,0,I,26,M,,,,,,
"$84,942",15708,5736,2100,1600,600,5475,1080,1980,1,3,0,I,32,F,,,,,,
,12374,6778,240,1000,300,521,600,600,0,1,0,M,,M,,,,,,
"$75,500",888,10428,2400,1500,840,2607,300,720,0,2,1,M,32,M,,,,,,
"$81,465",15521,3911,2760,800,960,1174,1080,1458,0,2,0,B,35,F,,,,,,
"$34,992",0,10428,0,1000,240,0,0,1080,3,2,0,S,32,F,,,,,,
"$89,348",12079,10428,1056,3200,600,2086,4200,1320,0,3,0,M,32,F,,,,,,
"$172,600",39237,8342,8120,920,4000,24680,360,3280,0,3,0,M,35,F,,,,,,
"$267,849",102366,28677,9600,4000,18000,4171,5400,10800,1,3,0,I,33,F,,,,,,
,11408,5214,360,1120,600,0,0,1680,0,4,0,M,,F,,,,,,
"$82,000",16434,6518,1260,900,120,2347,480,900,0,2,1,B,35,F,,,,,,
"$97,000",29089,2346,4800,300,1200,1564,360,1200,0,1,0,B,31,F,,,,,,
"$211,874",60216,7821,1200,160,3300,1825,1560,1800,0,3,1,M,35,F,,,,,,
"$64,070",,3650,1320,800,1200,2086,480,3600,0,1,0,B,29,F,,,,,,
"$35,079",6154,5214,60,800,240,0,0,720,0,1,0,P,35,M,,,,,,
"$78,100",14493,10428,1200,100,900,782,720,960,0,2,1,M,35,F,,,,,,
"$91,000",18209,10428,2400,900,2400,0,1200,1800,0,2,0,B,27,F,,,,,,
,0,7300,180,600,600,0,0,720,2,1,0,I,29,M,,,,,,
"$61,476",7552,5214,1860,685,1620,1252,3840,5700,1,3,1,B,29,F,,,,,,
"$38,000",6983,4171,240,10,240,782,0,120,0,1,0,I,29,F,,,,,,
"$155,353",40897,6518,2400,980,840,1695,2580,1140,0,2,0,M,38,M,,,,,,
"$117,970",20226,9385,960,550,900,0,1380,780,2,3,1,M,44,F,,,,,,
"$56,300",12164,3128,1800,500,1200,0,0,360,0,1,0,B,26,F,,,,,,
"$171,250",54202,7170,6000,70,1800,0,3090,1500,2,2,1,M,32,F,,,,,,
"$85,500",16623,7039,1500,1100,1500,2868,5700,3000,0,2,0,B,36,F,,,,,,
"$46,790",7552,15642,1200,900,7200,0,600,1200,0,4,1,P,38,F,,,,,,
"$83,612",8799,7821,2400,1000,1200,0,600,240,1,4,1,B,37,M,,,,,,
"$23,400",0,3650,240,400,300,0,0,300,0,2,1,I,33,F,,,,,,
"$66,000",11094,5214,660,1450,300,3389,1740,1500,0,2,0,M,37,M,,,,,,
"$12,480",0,5214,720,800,120,0,0,480,0,1,1,P,38,M,,,,,,
"$25,635",2578,2607,360,320,360,261,0,360,0,1,1,I,53,F,,,,,,
"$11,400",0,2086,0,460,120,521,240,300,0,1,1,P,49,F,,,,,,
"$105,210",26976,9385,720,2150,900,1304,1020,1080,2,2,0,M,36,F,,,,,,
"$162,400",22878,3389,0,3340,300,3389,840,900,0,3,0,B,43,M,,,,,,
"$77,108",14261,7039,1020,875,2100,2347,3300,1980,0,2,0,M,35,F,,,,,,
"$49,078",5676,9385,0,940,0,0,0,0,0,4,0,S,35,F,,,,,,
,12080,6778,660,720,600,1043,300,690,0,2,0,S,51,F,,,,,,
"$210,350",65490,15642,1200,600,480,1304,1200,690,3,2,1,B,32,M,,,,,,
"$90,400",6027,10428,1200,1100,1200,0,2640,1410,0,2,1,M,47,F,,,,,,
"$14,532",0,2086,600,360,0,1043,600,360,0,1,1,P,32,M,,,,,,
"$187,945",17202,7821,780,1250,600,1043,3000,3300,3,2,1,M,36,M,,,,,,
,66765,15642,720,1200,1800,521,4200,2400,2,3,1,I,32,M,,,,,,
"$25,308",0,7821,1440,905,420,1226,360,660,0,2,1,I,31,M,,,,,,
"$62,497",12690,6257,1200,600,480,104,3120,840,2,1,0,B,35,F,,,,,,
"$75,638",11855,10428,480,1600,0,521,480,360,0,4,1,M,38,M,,,,,,
"$39,360",6643,6257,1800,350,600,3650,1440,3600,0,1,1,P,44,M,,,,,,
"$21,552",1971,4693,540,973,480,0,1200,540,0,1,1,S,45,F,,,,,,
"$94,258",13215,15642,1200,1200,2400,0,2400,2040,1,2,1,B,35,F,,,,,,
"$168,852",45697,7821,0,70,0,0,1200,840,0,3,1,M,32,M,,,,,,
"$35,990",0,6257,1800,500,480,2607,480,480,0,2,1,I,36,F,,,,,,
"$60,249",9042,13035,3000,1300,3000,3128,1920,2400,1,2,1,B,34,M,,,,,,
"$17,446",1158,13035,2400,800,1200,2607,3600,720,0,1,1,P,54,F,,,,,,
"$129,521",38185,7300,1800,720,480,5214,3600,1440,0,2,1,M,36,M,,,,,,
"$10,684",0,3911,360,495,0,,1620,636,0,2,1,P,42,M,,,,,,
"$12,090",0,3128,0,500,480,521,0,2784,0,1,1,S,45,F,,,,,,
"$33,750",5705,10428,0,600,2400,2086,0,1200,0,2,,I,55,F,,,,,,
"$14,220",0,2607,480,1000,300,521,1020,1560,0,1,1,P,32,F,,,,,,
"$76,848",15282,10428,1200,1100,2400,0,2520,3000,2,2,1,B,32,F,,,,,,
"$21,742",0,10428,2640,800,0,0,960,240,1,1,0,I,32,M,,,,,,
,1068,10428,720,660,600,0,1200,0,0,2,1,I,46,M,,,,,,
"$85,850",24036,8864,840,1000,1200,1304,2160,960,0,2,1,B,32,M,,,,,,
"$429,210",10720,6518,2400,1250,2220,1825,1680,1440,1,3,1,B,33,F,,,,,,
"$150,954",47038,13556,600,1600,240,1825,480,480,2,2,1,M,25,M,,,,,,
"$39,237",4989,8864,600,120,600,0,0,1800,1,2,1,I,50,F,,,,,,
