Subject,Year,Race,B,H,HW
12,1980,Black,1,0,4.528282449
12,1981,Black,1,0,4.530612342
12,1982,Black,1,0,2.891844851
12,1983,Black,1,0,3.860190717
12,1984,Black,1,0,3.373819143
12,1985,Black,1,0,3.234617675
12,1986,Black,1,0,3.820682485
12,1987,Black,1,0,3.98089173
13,1980,Other,0,0,3.311960016
13,1981,Other,0,0,6.379310421
13,1982,Other,0,0,3.836120922
13,1983,Other,0,0,4.192148425
13,1984,Other,0,0,4.79764479
13,1985,Other,0,0,5.473350606
13,1986,Other,0,0,0.486624458
13,1987,Other,0,0,5.307855555
14,1980,Hispanic,0,1,4.108723033
14,1981,Hispanic,0,1,5.300353334
14,1982,Hispanic,0,1,6.835270288
14,1983,Hispanic,0,1,5.705176363
14,1984,Hispanic,0,1,7.471161403
14,1985,Hispanic,0,1,9.240009638
14,1986,Hispanic,0,1,8.073301356
14,1987,Hispanic,0,1,10.39482036
15,1980,Black,1,0,3.679649794
15,1981,Black,1,0,3.783783662
15,1982,Black,1,0,3.667705962
15,1983,Black,1,0,5.109489323
15,1984,Black,1,0,5.254860519
15,1985,Black,1,0,5.197504968
15,1986,Black,1,0,4.730369126
15,1987,Black,1,0,6.915377326
16,1980,Hispanic,0,1,8.262196905
16,1981,Hispanic,0,1,8.763122172
16,1982,Hispanic,0,1,8.455687538
16,1983,Hispanic,0,1,7.944104918
16,1984,Hispanic,0,1,7.694770433
16,1985,Hispanic,0,1,7.530476576
16,1986,Hispanic,0,1,8.735389023
16,1987,Hispanic,0,1,6.510969867
17,1980,Other,0,0,5.343935936
17,1981,Other,0,0,4.564907111
17,1982,Other,0,0,4.754970594
17,1983,Other,0,0,5.614823218
17,1984,Other,0,0,5.063319375
17,1985,Other,0,0,4.995753336
17,1986,Other,0,0,4.818127805
17,1987,Other,0,0,6.173919198
18,1980,Other,0,0,4.553803054
18,1981,Other,0,0,5.671077301
18,1982,Other,0,0,5.112781953
18,1983,Other,0,0,7.3759801
18,1984,Other,0,0,8.88188954
18,1985,Other,0,0,9.647146005
18,1986,Other,0,0,7.924378586
18,1987,Other,0,0,17.69285417
45,1980,Other,0,0,6.646663312
45,1981,Other,0,0,4.354280303
45,1982,Other,0,0,4.364473266
45,1983,Other,0,0,5.702554461
45,1984,Other,0,0,6.191724835
45,1985,Other,0,0,6.741435352
45,1986,Other,0,0,5.711304042
45,1987,Other,0,0,8.46287559
110,1980,Other,0,0,7.020081408
110,1981,Other,0,0,7.115384655
110,1982,Other,0,0,7.122770544
110,1983,Other,0,0,9.047745423
110,1984,Other,0,0,8.456659302
110,1985,Other,0,0,8.379789397
110,1986,Other,0,0,7.322974708
110,1987,Other,0,0,8.268006097
120,1980,Other,0,0,1.295057215
120,1981,Other,0,0,3.743315367
120,1982,Other,0,0,4.314947886
120,1983,Other,0,0,3.744495407
120,1984,Other,0,0,5.493944802
120,1985,Other,0,0,4.24526042
120,1986,Other,0,0,6.08827055
120,1987,Other,0,0,8.568735438
126,1980,Other,0,0,5.681898926
126,1981,Other,0,0,7.312614692
126,1982,Other,0,0,8.934470175
126,1983,Other,0,0,6.394659995
126,1984,Other,0,0,6.837606798
126,1985,Other,0,0,7.85400781
