Subject,Year,Race,H,HW,Y2,Y3,Y4
12,1984,Black,0,3.373819143,0,0,0
12,1985,Black,0,3.234617675,1,0,0
12,1986,Black,0,3.820682485,0,1,0
12,1987,Black,0,3.98089173,0,0,1
14,1984,Hispanic,1,7.471161403,0,0,0
14,1985,Hispanic,1,9.240009638,1,0,0
14,1986,Hispanic,1,8.073301356,0,1,0
14,1987,Hispanic,1,10.39482036,0,0,1
15,1984,Black,0,5.254860519,0,0,0
15,1985,Black,0,5.197504968,1,0,0
15,1986,Black,0,4.730369126,0,1,0
15,1987,Black,0,6.915377326,0,0,1
16,1984,Hispanic,1,7.694770433,0,0,0
16,1985,Hispanic,1,7.530476576,1,0,0
16,1986,Hispanic,1,8.735389023,0,1,0
16,1987,Hispanic,1,6.510969867,0,0,1
383,1984,Black,0,5.883539306,0,0,0
383,1985,Black,0,7.471414347,1,0,0
383,1986,Black,0,7.322974708,0,1,0
383,1987,Black,0,7.043116,0,0,1
847,1984,Black,0,7.396450078,0,0,0
847,1985,Black,0,5.197504968,1,0,0
847,1986,Black,0,8.378852435,0,1,0
847,1987,Black,0,5.410920481,0,0,1
910,1984,Black,0,6.815218328,0,0,0
910,1985,Black,0,9.555009143,1,0,0
910,1986,Black,0,8.264371918,0,1,0
910,1987,Black,0,6.634819618,0,0,1
1520,1984,Black,0,3.936554218,0,0,0
1520,1985,Black,0,4.060550962,1,0,0
1520,1986,Black,0,4.85759181,0,1,0
1520,1987,Black,0,5.134563892,0,0,1
1528,1984,Black,0,3.307503171,0,0,0
1528,1985,Black,0,3.21589123,1,0,0
1528,1986,Black,0,3.92122668,0,1,0
1528,1987,Black,0,4.048364313,0,0,1
1644,1984,Hispanic,1,5.393356448,0,0,0
1644,1985,Hispanic,1,5.197504968,1,0,0
1644,1986,Hispanic,1,4.787361198,0,1,0
1644,1987,Hispanic,1,7.912332007,0,0,1
1721,1984,Hispanic,1,8.405056864,0,0,0
1721,1985,Hispanic,1,8.121100971,1,0,0
1721,1986,Hispanic,1,9.551706481,0,1,0
1721,1987,Hispanic,1,18.37334678,0,0,1
1763,1984,Hispanic,1,4.600662406,0,0,0
1763,1985,Hispanic,1,4.196301346,1,0,0
1763,1986,Hispanic,1,1.062234518,0,1,0
1763,1987,Hispanic,1,4.030038543,0,0,1
2264,1984,Black,0,5.043034067,0,0,0
2264,1985,Black,0,0.552234939,1,0,0
